Pontos,Estrategia,Distância,Tempo
5,CROSSOVER_STRATEGY.PMX,15034.948656951889,0.24123358726501465
10,CROSSOVER_STRATEGY.PMX,25951.894330134153,0.6560192108154297
15,CROSSOVER_STRATEGY.PMX,40849.167901060195,0.43613505363464355
20,CROSSOVER_STRATEGY.PMX,45526.13844877269,1.2696750164031982
25,CROSSOVER_STRATEGY.PMX,59129.44286947328,2.1274330615997314
30,CROSSOVER_STRATEGY.PMX,73731.18721274368,2.524355888366699
35,CROSSOVER_STRATEGY.PMX,83741.00957798972,3.993793487548828
40,CROSSOVER_STRATEGY.PMX,104728.38123280519,2.3323988914489746
45,CROSSOVER_STRATEGY.PMX,123460.95502078034,1.738255500793457
50,CROSSOVER_STRATEGY.PMX,106673.03914064853,3.718842029571533
5,CROSSOVER_STRATEGY.OX,15034.948656951889,0.2496318817138672
10,CROSSOVER_STRATEGY.OX,25951.894330134153,0.3929457664489746
15,CROSSOVER_STRATEGY.OX,32738.53835920904,1.7388763427734375
20,CROSSOVER_STRATEGY.OX,36824.22082790152,1.8962249755859375
25,CROSSOVER_STRATEGY.OX,42705.5429526834,3.036283016204834
30,CROSSOVER_STRATEGY.OX,54802.54451038924,2.6741068363189697
35,CROSSOVER_STRATEGY.OX,64780.1509240147,2.9214892387390137
40,CROSSOVER_STRATEGY.OX,78641.68602181424,1.8738141059875488
45,CROSSOVER_STRATEGY.OX,76289.47550859314,3.582050085067749
50,CROSSOVER_STRATEGY.OX,93205.8697571858,4.408860206604004
5,CROSSOVER_STRATEGY.CX,15034.948656951889,0.27545738220214844
10,CROSSOVER_STRATEGY.CX,34873.30893558537,0.5030219554901123
15,CROSSOVER_STRATEGY.CX,36964.77800673394,1.8889613151550293
20,CROSSOVER_STRATEGY.CX,57248.75246378242,3.2370662689208984
25,CROSSOVER_STRATEGY.CX,77994.00124109772,2.8692665100097656
30,CROSSOVER_STRATEGY.CX,71954.24440274718,5.574821472167969
35,CROSSOVER_STRATEGY.CX,86021.43673896234,6.428133726119995
40,CROSSOVER_STRATEGY.CX,104412.64117777215,5.932672023773193
45,CROSSOVER_STRATEGY.CX,134044.8736628233,6.612670421600342
50,CROSSOVER_STRATEGY.CX,124906.75006170859,7.273431777954102
5,CROSSOVER_STRATEGY.ERX,15034.948656951889,0.22703194618225098
10,CROSSOVER_STRATEGY.ERX,25951.894330134153,0.40767621994018555
15,CROSSOVER_STRATEGY.ERX,42824.5714887861,1.1922454833984375
20,CROSSOVER_STRATEGY.ERX,57533.45076752981,1.3805179595947266
25,CROSSOVER_STRATEGY.ERX,96117.04277385995,2.0368831157684326
30,CROSSOVER_STRATEGY.ERX,126817.84145269236,2.0492660999298096
35,CROSSOVER_STRATEGY.ERX,152039.98878194398,1.977113962173462
40,CROSSOVER_STRATEGY.ERX,170134.45903107442,2.1613380908966064
45,CROSSOVER_STRATEGY.ERX,186995.83322794485,3.4584388732910156
50,CROSSOVER_STRATEGY.ERX,218735.86421270104,3.3813881874084473
5,CROSSOVER_STRATEGY.POS,15034.948656951889,0.39532017707824707
10,CROSSOVER_STRATEGY.POS,25951.894330134153,0.32986998558044434
15,CROSSOVER_STRATEGY.POS,32890.1207678355,0.6310653686523438
20,CROSSOVER_STRATEGY.POS,43983.61315847302,1.206824541091919
25,CROSSOVER_STRATEGY.POS,53090.04154745274,2.1496880054473877
30,CROSSOVER_STRATEGY.POS,63580.891402951784,3.7742080688476562
35,CROSSOVER_STRATEGY.POS,79783.669700425,3.1017098426818848
40,CROSSOVER_STRATEGY.POS,80000.16700657505,1.7640633583068848
45,CROSSOVER_STRATEGY.POS,88536.55710036536,3.6472017765045166
50,CROSSOVER_STRATEGY.POS,123100.45905296429,4.872984886169434
