Pontos,Estrategia,Distância,Tempo
5,PARENT_SELECTION.TOURNAMENT,15034.948656951889,0.19481897354125977
10,PARENT_SELECTION.TOURNAMENT,26011.638926449785,0.2833900451660156
15,PARENT_SELECTION.TOURNAMENT,34887.57588831765,0.7255051136016846
20,PARENT_SELECTION.TOURNAMENT,60035.106434776164,0.877284049987793
25,PARENT_SELECTION.TOURNAMENT,57892.66188642221,1.6608247756958008
30,PARENT_SELECTION.TOURNAMENT,81085.18341409267,1.959522008895874
35,PARENT_SELECTION.TOURNAMENT,83718.96312050184,2.9119246006011963
40,PARENT_SELECTION.TOURNAMENT,96339.05529620062,3.2579667568206787
45,PARENT_SELECTION.TOURNAMENT,97647.07776638312,3.070692300796509
50,PARENT_SELECTION.TOURNAMENT,110787.30408073778,3.8508269786834717
5,PARENT_SELECTION.RANK,15034.948656951889,0.15189409255981445
10,PARENT_SELECTION.RANK,25951.894330134153,0.3655853271484375
15,PARENT_SELECTION.RANK,35236.92455199428,0.9306530952453613
20,PARENT_SELECTION.RANK,42590.85659925327,1.249448299407959
25,PARENT_SELECTION.RANK,79975.7635387286,0.6913838386535645
30,PARENT_SELECTION.RANK,79171.04207926005,1.1607122421264648
35,PARENT_SELECTION.RANK,87372.43643372312,2.7098560333251953
40,PARENT_SELECTION.RANK,109756.93205823918,1.421248197555542
45,PARENT_SELECTION.RANK,117228.08079882582,2.848961114883423
50,PARENT_SELECTION.RANK,130208.63428545474,3.6779229640960693
5,PARENT_SELECTION.ROULETTE,15034.948656951889,0.15968871116638184
10,PARENT_SELECTION.ROULETTE,25951.894330134153,0.4882524013519287
15,PARENT_SELECTION.ROULETTE,45089.75337996272,0.7049088478088379
20,PARENT_SELECTION.ROULETTE,50949.945707101375,0.9609313011169434
25,PARENT_SELECTION.ROULETTE,89331.65866696832,1.6697211265563965
30,PARENT_SELECTION.ROULETTE,111436.55061959084,0.8480322360992432
35,PARENT_SELECTION.ROULETTE,153105.20135267338,1.0593597888946533
40,PARENT_SELECTION.ROULETTE,154436.7171210551,1.0906057357788086
45,PARENT_SELECTION.ROULETTE,189295.79282000134,1.6328880786895752
50,PARENT_SELECTION.ROULETTE,221584.85881729715,1.0455520153045654
5,PARENT_SELECTION.TOP_HALF,15034.948656951889,0.14588236808776855
10,PARENT_SELECTION.TOP_HALF,25951.894330134153,0.20975995063781738
15,PARENT_SELECTION.TOP_HALF,36707.87977124178,0.4516165256500244
20,PARENT_SELECTION.TOP_HALF,41003.9204849343,0.5831382274627686
25,PARENT_SELECTION.TOP_HALF,46217.18862586863,1.9864637851715088
30,PARENT_SELECTION.TOP_HALF,58454.409638358266,2.4272501468658447
35,PARENT_SELECTION.TOP_HALF,78444.73398745878,1.1946117877960205
40,PARENT_SELECTION.TOP_HALF,102570.3469300231,1.6802163124084473
45,PARENT_SELECTION.TOP_HALF,90861.48477438295,3.390644073486328
50,PARENT_SELECTION.TOP_HALF,109025.32908045262,3.762427568435669
5,PARENT_SELECTION.RANDOM,15034.948656951889,0.16628026962280273
10,PARENT_SELECTION.RANDOM,29397.074261650272,0.3000473976135254
15,PARENT_SELECTION.RANDOM,50611.2148396262,0.5030195713043213
20,PARENT_SELECTION.RANDOM,58557.33652637989,0.45897936820983887
25,PARENT_SELECTION.RANDOM,112574.33417287513,0.7768247127532959
30,PARENT_SELECTION.RANDOM,123142.3120014453,1.645014762878418
35,PARENT_SELECTION.RANDOM,145010.59835262506,0.9407598972320557
40,PARENT_SELECTION.RANDOM,171145.77340403933,1.5808079242706299
45,PARENT_SELECTION.RANDOM,184057.68772360453,1.6250786781311035
50,PARENT_SELECTION.RANDOM,216472.52058842208,1.6950774192810059
