Pontos,Estrategia,Distância,Tempo
10,tournament,25951.894330134153,0.34246253967285156
20,tournament,46802.24332058177,1.1737568378448486
30,tournament,66185.7336311575,1.432643175125122
40,tournament,96243.36146538571,3.163374900817871
50,tournament,123966.78862131758,3.799010992050171
60,tournament,129441.81082679742,4.38805079460144
70,tournament,148806.58208514578,5.011503219604492
80,tournament,212060.67966751623,5.780392169952393
90,tournament,218403.3600000506,6.227216720581055
100,tournament,238429.387426702,6.826040744781494
10,rank,25951.894330134153,0.4515244960784912
20,rank,54952.31371672955,1.0837724208831787
30,rank,73408.97900032203,1.7890713214874268
40,rank,110430.77449382076,1.7905735969543457
50,rank,114278.36934949731,3.374723434448242
60,rank,135651.75997503163,3.544220447540283
70,rank,159391.68335246274,4.154481649398804
80,rank,229958.84695700512,4.154146432876587
90,rank,234334.25604010266,6.3968260288238525
100,rank,302902.4126339706,4.675358533859253
10,roulette,33681.74162209254,0.310258150100708
20,roulette,60319.721776370876,0.6800487041473389
30,roulette,131489.70962336077,0.5624351501464844
40,roulette,164277.9957694203,1.0471241474151611
50,roulette,221103.28305042963,1.2637498378753662
60,roulette,235770.40085637348,2.7722554206848145
70,roulette,290190.7731504719,3.096332311630249
80,roulette,352681.784987243,2.375359058380127
90,roulette,396514.9137224766,1.9366247653961182
100,roulette,465791.1281376502,2.1885643005371094
10,top_half,25951.894330134153,0.2195448875427246
20,top_half,43601.67000796093,1.2047839164733887
30,top_half,70800.84059977553,1.0487501621246338
40,top_half,90320.92649096683,1.6971147060394287
50,top_half,111212.56935618186,3.6566004753112793
60,top_half,120033.57319437097,4.348824501037598
70,top_half,157773.67971561084,6.04890775680542
80,top_half,192658.86894896973,5.765661239624023
90,top_half,184534.68441142346,6.305046319961548
100,top_half,243085.8000328713,7.159262657165527
10,random,32773.03816766765,0.4471604824066162
20,random,65902.15216088148,0.8166494369506836
30,random,122929.34587216195,1.0905706882476807
40,random,163565.2545317631,1.088331699371338
50,random,210153.63872356026,1.612771987915039
60,random,235763.13340134514,2.42814302444458
70,random,288340.71962172585,4.03837513923645
80,random,360358.87744394515,2.4485721588134766
90,random,414116.2477010237,1.532386302947998
100,random,458702.823088783,2.7793710231781006
