Pontos,NN_Dist,2Opt_Dist,GA_Dist,NN_GA_Dist,GA_2Opt_Dist,NN_GA_2Opt_Dist,NN_Time,2Opt_Time,GA_Time,NN_GA_Time,GA_2Opt_Time,NN_GA_2Opt_Time
10,27312.53,25951.89,25951.89,25951.89,25951.89,25951.89,0.0001,0.0009,1.1384,1.0615,0.9824,1.0031
20,41123.78,36793.41,36356.37,35243.69,35243.69,36793.41,0.0005,0.0169,4.1009,2.4263,4.04,2.568
30,55396.75,49756.29,55218.91,55396.75,52750.81,49756.29,0.0005,0.0277,5.8583,2.3388,8.4616,2.4101
40,71154.17,60855.02,71252.18,64572.81,65227.61,62779.48,0.001,0.1414,7.9536,5.1289,9.9091,3.0016
50,72877.12,69060.01,82493.43,72877.12,69550.99,69060.01,0.0014,0.2321,19.0967,2.8508,12.8936,3.085
60,71412.96,61276.14,98995.7,70109.12,65874.17,61276.14,0.0024,1.0418,8.757,5.4587,10.4329,4.3883
70,76671.84,69805.71,114583.16,76190.18,71790.32,69805.71,0.0028,1.1986,14.02,6.0143,26.3994,4.9822
80,93457.65,79355.75,147671.2,93457.65,82914.43,79355.75,0.0035,2.1198,10.4404,4.3045,36.0024,6.9258
90,77559.23,74871.37,158488.74,77559.23,83955.32,74871.37,0.0058,2.4324,18.4816,5.0603,41.5897,6.9198
100,103635.41,91000.16,178389.7,103635.41,93381.91,91000.16,0.006,5.5893,23.0003,5.3046,55.6273,10.7958
