Pontos,Estrategia,Distância,Tempo
10,MUTATION_SELECTION.SWAP,25951.894330134153,0.25508832931518555
20,MUTATION_SELECTION.SWAP,42440.56411298528,1.0679619312286377
30,MUTATION_SELECTION.SWAP,66579.45609549657,2.372030258178711
40,MUTATION_SELECTION.SWAP,80432.70558735446,3.0939862728118896
50,MUTATION_SELECTION.SWAP,99432.29111122478,3.66953182220459
60,MUTATION_SELECTION.SWAP,109846.82362876204,4.332735538482666
70,MUTATION_SELECTION.SWAP,137702.8299289785,4.950403451919556
80,MUTATION_SELECTION.SWAP,167116.8938796866,5.5507988929748535
90,MUTATION_SELECTION.SWAP,179570.13287519725,6.140523195266724
100,MUTATION_SELECTION.SWAP,221233.74993011446,6.7833521366119385
10,MUTATION_SELECTION.INVERSION,30547.433973625655,0.32068896293640137
20,MUTATION_SELECTION.INVERSION,37899.00628986281,1.2019298076629639
30,MUTATION_SELECTION.INVERSION,60530.727460886505,1.707265853881836
40,MUTATION_SELECTION.INVERSION,72105.34240232625,3.1585707664489746
50,MUTATION_SELECTION.INVERSION,74152.48962256993,3.732879161834717
60,MUTATION_SELECTION.INVERSION,77068.97016028504,4.365530967712402
70,MUTATION_SELECTION.INVERSION,99388.32999625558,5.040604591369629
80,MUTATION_SELECTION.INVERSION,114255.54917999335,5.623055696487427
90,MUTATION_SELECTION.INVERSION,132422.73156026175,6.265004396438599
100,MUTATION_SELECTION.INVERSION,157144.46614193908,6.946046590805054
10,MUTATION_SELECTION.INSERTION,25951.894330134153,0.2603340148925781
20,MUTATION_SELECTION.INSERTION,36855.73663326784,0.8505172729492188
30,MUTATION_SELECTION.INSERTION,59487.80565724657,1.2102320194244385
40,MUTATION_SELECTION.INSERTION,82981.97066273798,1.8427655696868896
50,MUTATION_SELECTION.INSERTION,86536.58468605956,3.7585651874542236
60,MUTATION_SELECTION.INSERTION,85755.01648028294,4.413973808288574
70,MUTATION_SELECTION.INSERTION,122495.8111458278,4.695523262023926
80,MUTATION_SELECTION.INSERTION,128088.24704035069,5.692195653915405
90,MUTATION_SELECTION.INSERTION,145341.32268411407,6.323049306869507
100,MUTATION_SELECTION.INSERTION,181678.0750719362,6.935338258743286
10,MUTATION_SELECTION.ROTATION,25951.894330134153,0.3244812488555908
20,MUTATION_SELECTION.ROTATION,36944.54546428732,0.974541187286377
30,MUTATION_SELECTION.ROTATION,55332.030554448895,2.3471624851226807
40,MUTATION_SELECTION.ROTATION,69658.44030925525,2.5009565353393555
50,MUTATION_SELECTION.ROTATION,71246.5056971372,3.7588210105895996
60,MUTATION_SELECTION.ROTATION,84834.55696826622,4.395342588424683
70,MUTATION_SELECTION.ROTATION,88899.49417083738,5.00617527961731
80,MUTATION_SELECTION.ROTATION,119077.3530022707,5.69972562789917
90,MUTATION_SELECTION.ROTATION,127232.91767811711,6.336872339248657
100,MUTATION_SELECTION.ROTATION,161405.69687296994,6.982041358947754
10,MUTATION_SELECTION.NON_ADJACENT_SWAP,25951.894330134153,0.2474346160888672
20,MUTATION_SELECTION.NON_ADJACENT_SWAP,46835.926823214104,0.6658387184143066
30,MUTATION_SELECTION.NON_ADJACENT_SWAP,71794.55721565484,1.8320248126983643
40,MUTATION_SELECTION.NON_ADJACENT_SWAP,98563.2918483101,2.2258591651916504
50,MUTATION_SELECTION.NON_ADJACENT_SWAP,98899.15392992947,3.7112858295440674
60,MUTATION_SELECTION.NON_ADJACENT_SWAP,128546.51235555636,4.32369327545166
70,MUTATION_SELECTION.NON_ADJACENT_SWAP,138730.3009884363,4.929578542709351
80,MUTATION_SELECTION.NON_ADJACENT_SWAP,171779.9080266439,5.502579927444458
90,MUTATION_SELECTION.NON_ADJACENT_SWAP,190028.7330583815,6.130578279495239
100,MUTATION_SELECTION.NON_ADJACENT_SWAP,213464.73411492904,6.772130727767944
10,MUTATION_SELECTION.SCRAMBLE,25951.894330134153,0.28334856033325195
20,MUTATION_SELECTION.SCRAMBLE,48068.17209797486,1.099998950958252
30,MUTATION_SELECTION.SCRAMBLE,85751.66765372686,1.402101755142212
40,MUTATION_SELECTION.SCRAMBLE,101305.86219373353,1.7050859928131104
50,MUTATION_SELECTION.SCRAMBLE,127497.97183137249,2.401283025741577
60,MUTATION_SELECTION.SCRAMBLE,153715.29875150727,3.0247139930725098
70,MUTATION_SELECTION.SCRAMBLE,187521.9666802443,2.957818031311035
80,MUTATION_SELECTION.SCRAMBLE,223315.7614187313,5.47552752494812
90,MUTATION_SELECTION.SCRAMBLE,271217.3746163047,3.5074782371520996
100,MUTATION_SELECTION.SCRAMBLE,324906.25299175904,4.506861686706543
10,MUTATION_SELECTION.CIRCULAR_SHIFT,28600.591918268503,0.27094483375549316
20,MUTATION_SELECTION.CIRCULAR_SHIFT,43315.10672145475,0.5752654075622559
30,MUTATION_SELECTION.CIRCULAR_SHIFT,61177.190832743865,1.0982029438018799
40,MUTATION_SELECTION.CIRCULAR_SHIFT,78860.07057382932,3.1773524284362793
50,MUTATION_SELECTION.CIRCULAR_SHIFT,88491.58474729945,3.023669719696045
60,MUTATION_SELECTION.CIRCULAR_SHIFT,98850.89023401483,4.4588892459869385
70,MUTATION_SELECTION.CIRCULAR_SHIFT,113230.83179555909,5.010629892349243
80,MUTATION_SELECTION.CIRCULAR_SHIFT,148228.2568889869,5.672354459762573
90,MUTATION_SELECTION.CIRCULAR_SHIFT,163573.57267616538,6.29644775390625
100,MUTATION_SELECTION.CIRCULAR_SHIFT,186758.2786670773,6.961311340332031
