Pontos,Estrategia,Distância,Tempo
10,CROSSOVER_STRATEGY.PMX,30547.433973625655,0.2520930767059326
20,CROSSOVER_STRATEGY.PMX,46615.363466437506,0.8021702766418457
30,CROSSOVER_STRATEGY.PMX,76236.06416113504,1.3485689163208008
40,CROSSOVER_STRATEGY.PMX,88068.55694380254,3.1368250846862793
50,CROSSOVER_STRATEGY.PMX,120130.65769491823,3.312652111053467
60,CROSSOVER_STRATEGY.PMX,130557.56594548337,4.32582688331604
70,CROSSOVER_STRATEGY.PMX,145074.07154381895,4.921034812927246
80,CROSSOVER_STRATEGY.PMX,215008.540629214,5.509889125823975
90,CROSSOVER_STRATEGY.PMX,210607.67752949815,6.202866077423096
100,CROSSOVER_STRATEGY.PMX,262689.24822882476,6.88438081741333
10,CROSSOVER_STRATEGY.OX,25951.894330134153,0.27538228034973145
20,CROSSOVER_STRATEGY.OX,38753.44316478041,1.0871539115905762
30,CROSSOVER_STRATEGY.OX,58753.598528324976,1.4310710430145264
40,CROSSOVER_STRATEGY.OX,70865.48826395845,3.7614166736602783
50,CROSSOVER_STRATEGY.OX,92842.80087344049,3.138737678527832
60,CROSSOVER_STRATEGY.OX,101330.26663070326,4.739165782928467
70,CROSSOVER_STRATEGY.OX,119687.56875347221,6.663821458816528
80,CROSSOVER_STRATEGY.OX,143672.90719939122,7.533607244491577
90,CROSSOVER_STRATEGY.OX,149674.56665957236,8.452539920806885
100,CROSSOVER_STRATEGY.OX,181532.94269061254,8.326865196228027
10,CROSSOVER_STRATEGY.CX,33223.72050752677,0.7369399070739746
20,CROSSOVER_STRATEGY.CX,37896.01898284705,3.2554774284362793
30,CROSSOVER_STRATEGY.CX,72977.51436031614,4.636052370071411
40,CROSSOVER_STRATEGY.CX,102732.06670193204,5.94814658164978
50,CROSSOVER_STRATEGY.CX,135433.5878020859,7.283490419387817
60,CROSSOVER_STRATEGY.CX,143226.36261114563,8.754112243652344
70,CROSSOVER_STRATEGY.CX,174004.2941786987,10.002225160598755
80,CROSSOVER_STRATEGY.CX,207409.98556746898,11.4085853099823
90,CROSSOVER_STRATEGY.CX,250639.92377124983,12.778284788131714
100,CROSSOVER_STRATEGY.CX,267651.14044904325,14.442466497421265
10,CROSSOVER_STRATEGY.ERX,28767.428041372314,0.6156551837921143
20,CROSSOVER_STRATEGY.ERX,58224.80259087953,0.7483601570129395
30,CROSSOVER_STRATEGY.ERX,120583.82669939898,1.1064283847808838
40,CROSSOVER_STRATEGY.ERX,160156.21187108985,2.63529634475708
50,CROSSOVER_STRATEGY.ERX,222183.01518937267,2.378572702407837
60,CROSSOVER_STRATEGY.ERX,243607.31565201745,3.352902889251709
70,CROSSOVER_STRATEGY.ERX,280314.207985173,6.163654088973999
80,CROSSOVER_STRATEGY.ERX,360234.8949605768,8.244716882705688
90,CROSSOVER_STRATEGY.ERX,408024.85054144013,7.904766082763672
100,CROSSOVER_STRATEGY.ERX,471217.73808493634,16.263816356658936
10,CROSSOVER_STRATEGY.POS,25951.894330134153,0.34114813804626465
20,CROSSOVER_STRATEGY.POS,38134.93953745338,0.7208318710327148
30,CROSSOVER_STRATEGY.POS,71398.8396748807,1.377638816833496
40,CROSSOVER_STRATEGY.POS,84682.2472206857,4.053343772888184
50,CROSSOVER_STRATEGY.POS,103110.1107206606,4.839075326919556
60,CROSSOVER_STRATEGY.POS,98076.4881213481,5.746335744857788
70,CROSSOVER_STRATEGY.POS,163954.4875514409,4.684591770172119
80,CROSSOVER_STRATEGY.POS,178000.11173376607,3.336681842803955
90,CROSSOVER_STRATEGY.POS,173940.6225653056,8.241566896438599
100,CROSSOVER_STRATEGY.POS,259202.7016979995,9.409019708633423
