Pontos,Estrategia,Distância,Tempo
10,PARENT_SELECTION.TOURNAMENT,25951.894330134153,0.25336480140686035
20,PARENT_SELECTION.TOURNAMENT,43205.1424779954,0.6692798137664795
30,PARENT_SELECTION.TOURNAMENT,74853.77043309764,1.3717539310455322
40,PARENT_SELECTION.TOURNAMENT,100495.338060259,2.578075647354126
50,PARENT_SELECTION.TOURNAMENT,127499.77450472816,3.730569839477539
60,PARENT_SELECTION.TOURNAMENT,116304.83827162161,4.317663908004761
70,PARENT_SELECTION.TOURNAMENT,151103.52316944668,4.939180135726929
80,PARENT_SELECTION.TOURNAMENT,214187.08480713653,5.540104627609253
90,PARENT_SELECTION.TOURNAMENT,227051.0868904899,6.163678169250488
100,PARENT_SELECTION.TOURNAMENT,248014.3180055429,6.7588324546813965
10,PARENT_SELECTION.RANK,25951.894330134153,0.42353153228759766
20,PARENT_SELECTION.RANK,45981.59843974792,0.811957836151123
30,PARENT_SELECTION.RANK,69540.25548632538,1.3163840770721436
40,PARENT_SELECTION.RANK,114212.86532934815,3.001743793487549
50,PARENT_SELECTION.RANK,122133.80720403024,2.441373825073242
60,PARENT_SELECTION.RANK,138522.01087233616,2.658111333847046
70,PARENT_SELECTION.RANK,170480.4820288249,2.969991445541382
80,PARENT_SELECTION.RANK,222043.1527260457,5.5429441928863525
90,PARENT_SELECTION.RANK,246818.64457391875,6.303637981414795
100,PARENT_SELECTION.RANK,305943.03956039116,6.733322858810425
10,PARENT_SELECTION.ROULETTE,26011.638926449785,0.460874080657959
20,PARENT_SELECTION.ROULETTE,61111.65279537377,1.3061175346374512
30,PARENT_SELECTION.ROULETTE,113779.45032676081,1.3507647514343262
40,PARENT_SELECTION.ROULETTE,162268.3541580499,3.018174886703491
50,PARENT_SELECTION.ROULETTE,222421.41891584898,0.9920275211334229
60,PARENT_SELECTION.ROULETTE,239741.3472760975,2.6206741333007812
70,PARENT_SELECTION.ROULETTE,269961.2863060391,2.297342538833618
80,PARENT_SELECTION.ROULETTE,364495.2440414457,1.5630512237548828
90,PARENT_SELECTION.ROULETTE,409153.1442361261,2.2865426540374756
100,PARENT_SELECTION.ROULETTE,463376.55028170464,2.494173765182495
10,PARENT_SELECTION.TOP_HALF,25951.894330134153,0.5857782363891602
20,PARENT_SELECTION.TOP_HALF,40870.5516751675,0.7899971008300781
30,PARENT_SELECTION.TOP_HALF,61187.46328633576,1.4056642055511475
40,PARENT_SELECTION.TOP_HALF,79471.85550312782,1.3838896751403809
50,PARENT_SELECTION.TOP_HALF,110389.22688334792,3.6545000076293945
60,PARENT_SELECTION.TOP_HALF,119173.30117421824,4.261189699172974
70,PARENT_SELECTION.TOP_HALF,149699.8430648781,5.130293130874634
80,PARENT_SELECTION.TOP_HALF,171686.6874422433,5.712073564529419
90,PARENT_SELECTION.TOP_HALF,173793.35722708725,6.212130546569824
100,PARENT_SELECTION.TOP_HALF,251104.2393800439,6.851518392562866
10,PARENT_SELECTION.RANDOM,33612.023416230426,0.2811248302459717
20,PARENT_SELECTION.RANDOM,70410.6202579168,1.0526440143585205
30,PARENT_SELECTION.RANDOM,120400.64815510115,0.6424064636230469
40,PARENT_SELECTION.RANDOM,171410.8212315333,1.9232192039489746
50,PARENT_SELECTION.RANDOM,202616.30917390526,1.4165589809417725
60,PARENT_SELECTION.RANDOM,247157.08785265332,2.4653172492980957
70,PARENT_SELECTION.RANDOM,298614.8009873539,1.9572396278381348
80,PARENT_SELECTION.RANDOM,362947.50216397457,3.070063829421997
90,PARENT_SELECTION.RANDOM,407550.78084570664,3.8184449672698975
100,PARENT_SELECTION.RANDOM,463810.1453990239,3.6251392364501953
