Pontos,NN_Dist,2Opt_Dist,GA_Dist,NN_GA_Dist,GA_2Opt_Dist,NN_GA_2Opt_Dist,NN_Time,2Opt_Time,GA_Time,NN_GA_Time,GA_2Opt_Time,NN_GA_2Opt_Time
10,27312.53,25951.89,33223.72,25951.89,25951.89,25951.89,0.0001,0.001,0.1594,0.0792,0.1505,0.0785
20,41123.78,36793.41,46039.98,40040.79,36796.43,37615.32,0.0002,0.0167,0.2161,0.1267,0.2386,0.165
30,55396.75,49756.29,82050.08,55396.75,53757.83,49756.29,0.0006,0.028,0.3356,0.1424,0.4515,0.1669
40,71154.17,60855.02,118261.69,71154.17,63447.01,60855.02,0.001,0.1487,0.5584,0.1785,0.934,0.3434
50,72877.12,69060.01,134090.63,72871.14,71699.95,69060.01,0.0015,0.2391,0.8268,0.351,2.4176,0.445
60,71412.96,61276.14,162805.16,70745.25,67099.8,61276.14,0.0026,1.0516,1.1566,0.4554,6.6018,1.2932
70,76671.84,69805.71,171780.4,76671.84,75855.68,69805.71,0.0028,1.2013,1.5361,0.2808,13.482,1.4072
80,93457.65,79355.75,197813.17,93457.65,86907.78,79355.75,0.0036,2.1371,1.9568,0.314,12.0896,2.492
90,77559.23,74871.37,205353.98,77559.23,86814.13,74871.37,0.0045,2.1468,2.4605,0.3542,30.894,2.4774
100,103635.41,91000.16,286346.82,103635.41,95222.83,91000.16,0.0055,5.5907,2.9696,0.3847,43.2725,5.9738
